5.219.0.0/17	38.0.0.0/7	0.0.0.0/16	0.0.4.0/22		5
5.219.128.0/17	38.0.0.0/7	0.0.0.0/16	0.0.4.0/22		5
5.220.0.0/14	36.0.0.0/6	0.0.0.0/16	0.0.4.0/22		9
5.208.0.0/13	36.0.0.0/6	0.0.0.0/16	0.0.8.0/21		6
5.216.0.0/15	36.0.0.0/6	0.0.0.0/16	0.0.8.0/21		6
5.218.0.0/17	36.0.0.0/6	0.0.0.0/16	0.0.8.0/21		7
5.218.128.0/19	36.0.0.0/6	0.0.0.0/16	0.0.8.0/21		6
5.218.160.0/19	36.0.0.0/6	0.0.0.0/16	0.0.8.0/21		6
5.218.192.0/19	36.0.0.0/6	0.0.0.0/16	0.0.8.0/21		10
5.218.224.0/19	36.0.0.0/6	0.0.0.0/16	0.0.8.0/21		13
5.219.0.0/17	36.0.0.0/6	0.0.0.0/16	0.0.8.0/21		6
5.219.128.0/17	36.0.0.0/6	0.0.0.0/16	0.0.8.0/21		6
5.220.0.0/15	36.0.0.0/6	0.0.0.0/16	0.0.8.0/21		6
5.222.0.0/15	36.0.0.0/6	0.0.0.0/16	0.0.8.0/21		6
5.224.0.0/11	32.0.0.0/7	0.0.0.0/16	0.0.0.0/20		5
5.224.0.0/11	34.0.0.0/7	0.0.0.0/16	0.0.0.0/20		11
5.224.0.0/11	36.0.0.0/7	0.0.0.0/16	0.0.0.0/20		11
5.224.0.0/11	38.0.0.0/7	0.0.0.0/16	0.0.0.0/20		9
5.192.0.0/12	32.0.0.0/6	0.0.0.0/16	0.0.16.0/20		5
5.208.0.0/14	32.0.0.0/6	0.0.0.0/16	0.0.16.0/20		5
5.212.0.0/14	32.0.0.0/6	0.0.0.0/16	0.0.16.0/20		5
5.216.0.0/16	32.0.0.0/6	0.0.0.0/16	0.0.16.0/20		5
5.217.0.0/16	32.0.0.0/6	0.0.0.0/16	0.0.16.0/20		5
5.218.0.0/18	32.0.0.0/6	0.0.0.0/16	0.0.16.0/20		7
5.218.64.0/18	32.0.0.0/6	0.0.0.0/16	0.0.16.0/20		7
5.218.128.0/18	32.0.0.0/6	0.0.0.0/16	0.0.16.0/20		5
5.218.192.0/20	32.0.0.0/6	0.0.0.0/16	0.0.16.0/20		5
5.218.208.0/20	32.0.0.0/6	0.0.0.0/16	0.0.16.0/20		9
5.218.224.0/20	32.0.0.0/6	0.0.0.0/16	0.0.16.0/20		13
5.218.240.0/20	32.0.0.0/6	0.0.0.0/16	0.0.16.0/20		5
5.219.0.0/16	32.0.0.0/6	0.0.0.0/16	0.0.16.0/20		5
5.220.0.0/14	32.0.0.0/6	0.0.0.0/16	0.0.16.0/20		5
5.192.0.0/12	36.0.0.0/6	0.0.0.0/16	0.0.16.0/20		6
